Id,Name,Genre,Platform,Publisher,Critic_Score,Year,RAWG Score,Description
19,The Witcher,Role-Playing,PC,Atari,7.9,2007.0,4.15,"The Witcher is the very first instalment of the series that follows the story of Geralt from Rivia. Being found unconscious on the battlefield he must retrieve his memory and help the emperor's daughter, Adda to stop her from turning in to a feral monster. Facing the biggest enemy, Salamander, Geralt must also help all the fractions around the world to find peace between each other.

The fighting system is very flexible. Choosing from three different styles, you can adapt Geralt for any kind of a combat situation. Fast style of fighting gives you an opportunity to strike your opponents with your speed. The strong style focuses itself on destroying your enemies with powerful attacks, while sweeping style is very good when facing a number of foes. You can also craft some potions to gain important benefits such as seeing in the dark or having a larger amount HP. Plot style is unique as well. The game never gives a precise definition of evil, which leads the player to convenient situations where the choice is quite bad anyway."
24,Wii Sports Resort,Sports,Wii,Nintendo,8.0,2009.0,4.21,"Wii Sports Resort is an immersive, expansive active-play game that includes a dozen fun resort-themed activities. It maintains the wide-ranging appeal that attracted millions to the original Wii Sports.
Wii Sports Resort is easy to pick up and play, but comes coupled with deeper levels of play that are sure to challenge even the most experienced gamers. Wii Sports Resort whisks players away to a resort that&#39;s full of action, while introducing an unprecedented experience in physical reality. From the moment players skydive onto Wuhu Island,they&#39;re presented with a huge selection of fun activities that everyone can play.
Wuhu Island has so many things to do, there&#39;s never a dull moment. A dozen activities await visitors: Archery, Frisbee®, Basketball, Cycling, Canoeing, Power Cruising, Table Tennis, Air Sports, Bowling, Swordplay, Golf and Wakeboarding.
The activities use the precision controls of the Wii MotionPlus accessory to help players come much closer to the physical reality of engaging in the actual sports. Every real-world action, whether it&#39;s a perfect drive on the fairway or a slice off the course, is meant to be faithfully replicated.
Each activity has multiple fun challenges designed to keep visitors coming back for more. Basketball players might compete in a three-point shootout or jump into a three-on-three pickup game. Archery enthusiasts must aim for the bull&#39;s-eye across ever-increasing distances and obstacles.
Different activities use the Wii Remote and Nunchuk controllers in different ways. For example, players hold the Wii Remote like a paddle in Canoeing, while in Cycling they use both arms to “pedal” with the two controllers. The Wii MotionPlus accessory picks up every nuance of motion and translates it onto the TV screen.
Depending on the activity, players can compete solo or against other players. Some activities even let players team up to work cooperatively."
26,Tom Clancy's Splinter Cell,Action,XB,Ubisoft,9.3,2002.0,4.13,"Tom Clancy&#39;s Splinter Cell is a stealth-action game developed by Ubisoft Montreal. It is the first installment of the Splinter Cell franchise.
<h3>Plot</h3>
In 2003, the United States government formed a new covert agency to gather intelligence. It is a top-secret organization named Third Echelon. The agency has access to cutting-edge surveillance and military technologies. Third Echelon&#39;s agents are free to violate any law as long as it is required to complete the mission successfully.
In 2004, contact is lost with a CIA agent. Homeland security sends a second agent to check on the CIA&#39;s asset, yet contact is lost again. Third Echelon sends Sam Fischer to investigate the situation.
<h3>Gameplay</h3>
The game&#39;s main focus is to hide from the enemy instead of going loud and gun-blazing. The players have to leave no trace of themselves. It is essential to stick to the shadows, use the environment for cover and carefully pick your equipment to avoid detection.
Shadows are the best friend of the player. A special indicator is present on an in-game HUD that shows if the players are visible to their enemies. The game does not welcome the usage of weapons as the sound of gunfire is very loud and can be heard from the distance. The players have to rely on headshots, as they don&#39;t have much ammo on them. Sam has multiple advanced gadgets to aid him in his mission as well as a lot of hand-to-hand combat experience."
27,New Super Mario Bros.,Platform,DS,Nintendo,9.1,2006.0,4.09,"
      Princess Peach™ has been kidnapped by Bowser Jr.™! Run, jump, and stomp 
      your way across eight worlds as you smash through your foes and save the 
      day! Take a break from the adventure to play minigames in four 
      fun-filled categories!
    
      When lightning suddenly strikes Peach's castle, Mario goes to 
      investigate the disturbance. But Bowser Jr. seizes the opportunity to 
      sneak up from behind and grab ahold of Peach! It's up to Mario to save 
      the day! Run, jump, and stomp your way through raging volcanoes, 
      tropical islands, snowcapped peaks, and unimaginable challenges. Grab a 
      Mega Mushroom and grow to incredible proportions, or smash through your 
      foes in a blue Koopa shell. Collect Star Coins to unlock helpful items, 
      backgrounds, and even new paths on the map.
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
28,New Super Mario Bros. Wii,Platform,Wii,Nintendo,8.6,2009.0,3.95,"Run and jump to your way to fun with Mario™ &amp; friends!
Play together with up to 4 friends or family members
Rediscover legendary 2D gameplay loved by millions
Fun, simple controls—just like classic Mario games
Developers at Nintendo have dreamed of creating a simultaneous<br />
multiplayer Super Mario Bros.™ game for decades. The Wii console<br />
finally makes that dream come true for everyone. Now players can<br />
navigate the side-scrolling worlds alone as before or invite up to three<br />
others to join them at the same time on the same level at any point in<br />
the game for competitive and cooperative multiplayer fun. With the<br />
multiplayer mode, the newest installment of the most popular video game<br />
franchise is designed to bring yet another type of family entertainment<br />
into living rooms and engage groups of friends in fast-paced Super<br />
Mario Bros. fun.
New Super Mario Bros. Wii offers a combination of cooperation<br />
and competition. Players can pick each other up to save them from<br />
danger or toss them into it.
Mario™, Luigi™ and two Toads are all playable characters, while many<br />
others from the Mushroom Kingdom make appearances throughout the game.<br />
Players can even ride different Yoshi characters and use their tongues<br />
to swallow enemies, items and even balls of fire.
In some areas, players use the motion abilities of the Wii Remote™<br />
controller. The first player to reach a seesaw might make it tilt to<br />
help his or her character reach a higher platform – or might make it<br />
tilt incorrectly just to mess with other players.
New items include the propeller suit, which will shoot players high<br />
into the sky with just a shake of the Wii Remote, and Mario’s new<br />
ability to transform into Penguin Mario.
At the end of each stage during the coin battle multiplayer mode,<br />
players are ranked based on the number of coins they have collected.
*MSRP: Manufacturer&#39;s Suggested Retail Price. Actual price may vary. See<br />
retailer for details."
31,Wii Play,Misc,Wii,Nintendo,5.9,2007.0,3.41,"
      Bundled with a Wii Remote, Wii Play offers a little something for 
      everyone who enjoyed the pick-up-and-play gaming of Wii Sports.
    
      Wii Play is made up of nine games that will test the physical and mental 
      reflexes of players of all ages.
    
      Whether you pick up the Wii Remote to play the shooting gallery that 
      harkens back to the days of Duck Hunt or use it to find matching Miis, a 
      world of fun is in your hands!
    
      In addition to the shooting gallery and Mii-matching game, Wii play 
      offers billiards, air hockey, tank battles, table tennis rally, Mii 
      poses and a cow-riding race.
    "
33,Rayman,Platform,PS,Ubisoft,7.0,1995.0,3.74,"Purchase this PS one® Classic and play it on both your PS3™ and PSP® (PlayStation®Portable) systems!
In the world of Rayman®, people live in peace and harmony with nature, and the Great Protoon maintains the balance of the universe. One fateful day, Mr. Dark steals the Great Protoon and defeats Betilla the Fairy, plunging the whole world into darkness. It&#39;s up to Rayman® to defeat Mr. Dark and restore balance to the universe in this classic platforming game.<br />
Key features:<br />
•   Action-packed platforming levels have you jump, climb, and swing your way to victory.<br />
•   Expand your repertoire of moves by learning new Powers.<br />
•   Explore over 30 levels in 6 diverse and fantastic worlds.<br />
•   Defeat all of Mister Dark&#39;s menacing Antitoon footsoldier minions and face challenging boss battles.<br />
Transferring to a PSP® system from your PS3™ system:<br />
You must be signed into the PLAYSTATION®Network account that originally purchased the game.  You must have at least 97 MB free on your Memory Stick Duo™.  Connect your PSP® system to your PS3™ system with a USB cable and switch your PSP® system to USB Mode. Highlight the game on the PS3™ XMB™, press the Δ button and select Copy.
PC Store Customers:<br />
Log into your PLAYSTATION®Network account that you originally used to purchased the game.  Then, download the game from your “Download List” in the PLAYSTATION®Store onto your PS3™ system.<br />
This title has been converted from the original PlayStation® disc to the PSP® and the PS3™ systems. Consequently, there may be times where the title plays differently from the PlayStation® disc version, or where some features may not function properly.  This version does not support PlayStation® peripherals (controller, memory card, multitap, etc.), therefore functionalities such as multiplayer, versus, and co-op modes are not available.<br />
Purchase or use of this item is subject to the PLAYSTATION®Network Terms of Service and this item’s use restrictions.  If you do not wish to accept all these terms, do not purchase or use this item.  One-time license fee for downloads to up to 2 console systems that are associated with the purchasing account.<br />
Memory Stick Duo™ may be required.<br />
RAYMAN®  © 1995-2008 Ubisoft Entertainment. All Rights Reserved.  Rayman, the character of Rayman, Ubisoft, Ubi.com, and the Ubisoft logo are trademarks of Ubisoft Entertainment in the U.S. and/or other countries.<br />
&quot;PlayStation&quot;, &quot;PS&quot; Family logo, and &quot;PSP&quot; are registered trademarks of Sony Computer Entertainment Inc."
35,BioShock,Shooter,X360,2K Games,9.6,2007.0,4.39,"FPS with RPG elements, Bioshock invites players to experience horrors of underwater isolation in the city of Rapture, the failed project of the better future. After surviving the plane crash, the protagonist has only one way to go – to the giant lighthouse that opens a way to the underwater utopia. Players will have to unravel the complicated history of Rapture, relying only on themselves, their guns and Plasmids, a mystical substance, that allows it’s user to obtain near magical abilities.<br />
The atmosphere of isolation and threat is conveyed through the environmental sounds, subtle electrical buzzing and audio logs, telling the story of societal decay and despair. Players will shape the story, making moral choices along their way, saving Little Sisters or extracting ADAM, the mystical fuel for your abilities. While exploring the underwater city, players will complete missions for the last sane inhabitants of Rapture, while fending off the less fortunate ones."
37,Kinect Adventures!,Party,X360,Microsoft Game Studios,6.7,2010.0,3.36,"(Online Interactions Not Rated by the ESRB)  The Games on Demand version supports  English, French, Italian, German, Spanish, Potuguese, Russian, Japanese, Korean, Chinese.  Kinect Adventures! is a full-featured Kinect game where you and your friends will explore the world – and beyond – through 20 active adventures to achieve the ultimate reward: Expert Adventurer status! Jump, duck and dodge your way through roaring rapids and challenging obstacle courses. Use your skills to save a leaky underwater laboratory. Get creative by showing off and sharing your accomplishments online with Photo Moments and Living Statues.  The spirit of adventure awaits!"
39,Nintendogs,Simulation,DS,Nintendo,8.4,2005.0,3.64,Nintendogs: Labrador &amp; Friends is a game for the Nintendo DS released in 2005. It is known as Nintendogs: Lab &amp; Friends in North American regions and Nintendogs: Shiba &amp; Friends in Japan.
40,Mario Kart DS,Racing,DS,Nintendo,9.1,2005.0,4.2,"
      Race along with Mario and his friends in five single-player modes and 
      over 30 courses. Knock out the competition with your driving skills as 
      you rocket-start the race, use drifting and turbos at critical points, 
      and deploy crazy items to gain an advantage.
    
      Get ready for total shell-tossing mayhem! Choose one of 12 Nintendo 
      characters as you race through challenging tracks that become even more 
      so with deployable items at your disposal. Enlist in the Grand Prix for 
      the trophy prize in eight different cups. Start a Time Trial, and try to 
      best your fastest time with your own ghost. Play against a 
      computer-controller kart in VS mode for a quick race. Try out some fun 
      kart minigames like Balloon Battle and Shine Runners in Battle mode. Or 
      try clearing some Missions to practice your technique in becoming the 
      ultimate Mario Kart racer!
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
42,Mario Kart 8 Deluxe,Racing,NS,Nintendo,9.3,2017.0,4.37,"Hit the road with the definitive version of Mario Kart 8 and play<br />
anytime, anywhere! Race your friends or battle them in a revised battle<br />
mode on new and returning battle courses. Play locally in up to 4-player<br />
multiplayer in 1080p while playing in TV Mode. Every track from the Wii<br />
U version, including DLC, makes a glorious return. Plus, the Inklings<br />
appear as all-new guest characters, along with returning favorites, such<br />
as King Boo, Dry Bones, and Bowser Jr.!
Features:
Race your friends in the definitive version of Mario Kart 8, only on<br />
Nintendo Switch!
Race as every character on every track from the Wii U version,<br />
including DLC characters and tracks.
Pop some balloons in the revamped Battle mode, complete with Balloon<br />
Battle and Bob-omb Blast.
Battle on new courses, like Urchin Underpass and Battle Stadium, or<br />
returning ones, such as GCN Luigi&#39;s Mansion and SNES Battle Course 1.
Inkling Girl &amp; Inkling Boy from Splatoon, King Boo, Dry Bones, and<br />
Bowser Jr. join the roster!
Players can choose a new Smart Steering feature which makes driving<br />
and staying on the track easy for novice players and kids even at 200cc
Three new vehicles have been added, two are even inspired by Splatoon
Carry two items at the same time
Returning items include Boo, the item stealing ghost, and the Feather,<br />
which gives you a high jump in battle mode.
Play your friends in local wireless multiplayer with up to 8 players.
Drive through in 1080p HD quality in TV mode
Play on the go with handheld mode and play anytime, anywhere"
43,Wii Fit,Sports,Wii,Nintendo,7.9,2008.0,3.76,"
      * Control on-screen action with your movements on the balance board as 
      you work your way through a variety of challenges aimed at getting you 
      off the couch and into the action. Check your Body Mass Index (BMI), see 
      your Wii Fit Age and keep tabs on your daily progress towards a more fit 
      for you.
    
      * Get fit with more than 40 activities and exercises, including strength 
      training, aerobics, yoga and balance games. Whether you're doing a yoga 
      pose or snowboarding down a slalom course, there's an activity for 
      everyone.
    
      * Challenge your family and friends to get in shape! Create your own 
      personal profile and set goals, test your balance, track your progress 
      with daily workouts and unlock new exercises and activities.
    "
44,Wii Fit Plus,Sports,Wii,Nintendo,8.0,2009.0,3.67,"
      Wii Fit™ attracted millions of new players to the world of video 
      games. Now Wii Fit Plus offers a range of new features and 
      enhancements to help players reinvigorate their workouts, along with 
      exercises and balance games designed to keep them fun. Players will find 
      a new dimension to the Wii Fit experience as they easily set 
      their own customized workout routines or choose 20-, 30- or 40-minute 
      workouts based on how much time they have available. Users will also be 
      able to choose from specialized workout routines that focus on an 
      individual's personal fitness goals or certain target areas. And with 
      the addition of activities like Skateboarding and Rhythm Kung Fu, 
      players will be using the Wii Balance Board™ accessory in a variety of 
      new and fun ways.
    <ul>
<li>
        Workouts combine the original Wii Fit activities and selections 
        from 15 new balance games and six new strength training and yoga 
        activities.
      </li>
<li>
        Users can input the amount of time they want to spend on their 
        workouts or select an area for personal improvement, and Wii Fit 
        Plus will suggest a number of diverse activities for them.
      </li>
<li>
        For the first time, users can mix and match which strength and yoga 
        activities they prefer on a given day. The seamless exercise flows 
        make it easier than ever for users to maintain their daily workout 
        routines.
      </li>
<li>
        Users might be asked to run an obstacle course across a series of 
        platforms, zoom across a beach on a Segway® x2 Personal Transporter or 
        flap their arms to help their hilarious chicken-suited characters aim 
        for targets.
      </li>
<li>
        The range of games and customization options will make players want to 
        play every day. They'll be having so much fun that their workouts will 
        seem to fly by in no time at all.
      </li>
<li>
        Players also can see estimates of calories burned and can even 
        activate a feature that lets them weigh their dogs or cats.
      </li>
<li>
        Wii 
        Fit Plus comes packaged with the Wii Balance Board accessory. 
        For people who already own Wii Fit, the Wii Fit Plus 
        disc will be available for purchase separately.
      </li>
</ul>"
45,Devil May Cry,Action,PS2,Capcom,9.1,2001.0,4.1,"Debuting in 2001, Devil May Cry® is the game that redefined the action genre with its stylish combo system and over-the-top, non-stop action. Wielding twin handguns and a demonic blade, the iconic white-haired devil hunter Dante slashes through legions of monstrous minions in a battle to save humanity from utter damnation."
47,Super Mario World,Platform,SNES,Nintendo,8.5,1991.0,4.37,"During a vacation in Dinosaur Land, Princess Toadstool gets kidnapped<br />
and a spell is cast on the inhabitants of the island. When they stumble<br />
upon Yoshi™, a young dinosaur, Mario™ and Luigi™ learn that Bowser™ is<br />
responsible for the terrible misdeeds. Now, Yoshis are trapped in<br />
magical eggs that Bowser has hidden throughout seven castles. Many<br />
hidden paths aid Mario in making his way to Bowser&#39;s castle, completing<br />
74 areas, and finding all 96 exits. Discover items, including a feather<br />
that gives Mario a cape that allows him to fly and a flower that lets<br />
him shoot fireballs, in layers upon layers of 2-D scrolling landscapes.<br />
You can even ride Yoshi and swallow your enemies!<br />
This game is only playable in 2D.This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. See more Virtual Console games for Nintendo 3DS."
48,Grand Theft Auto V,Action,PS3,Rockstar Games,9.4,2013.0,4.48,"Rockstar Games went bigger, since their previous installment of the series. You get the complicated and realistic world-building from Liberty City of GTA4 in the setting of lively and diverse Los Santos, from an old fan favorite GTA San Andreas. 561 different vehicles (including every transport you can operate) and the amount is rising with every update. <br />
Simultaneous storytelling from three unique perspectives: <br />
Follow Michael, ex-criminal living his life of leisure away from the past, Franklin, a kid that seeks the better future, and Trevor, the exact past Michael is trying to run away from. <br />
GTA Online will provide a lot of additional challenge even for the experienced players, coming fresh from the story mode. Now you will have other players around that can help you just as likely as ruin your mission. Every GTA mechanic up to date can be experienced by players through the unique customizable character, and community content paired with the leveling system tends to keep everyone busy and engaged."
51,Prince of Persia,Adventure,PS3,Ubisoft,8.3,2008.0,3.74,"Prince of Persia series is known for its acrobatic platforming gameplay, got a visual rehaul in this installment. It features an open-world ancient Persian city-state, that is fully available for the players.
At the heart of the game this time is not a fictional plot, but real Persian mythology. According to one of the legends, the god Ariman spewed out dark energy onto the Persian land. And the hero is to liberate it from this. This time, the main character has a trust-worthy sidekick. It is controlled by a AI and the interaction of two characters builds the basic gameplay mechanics.
The world of the game will have to travel a lot in the empty game world: the whole 24 levels of the game are populated with fewer than 10 NPCs. But hands down: visually they look like an illustration from the ancient Persian book. Acrobatic stunts were reinvented and the movement of the main character now feels more fluid and natural."
52,Rayman Raving Rabbids,Misc,Wii,Ubisoft,7.5,2006.0,3.5,"Hordes of crazed out-of control bunnies have invaded, enslaving Rayman and forcing him to participate in &#39;gladiator&#39; style trials.  Help Rayman win his freedom back by entertaining and outwitting these fury foes. Use the most hilarious fighting moves imaginable. Run races on animals, fight in the arena, mesmerize the bunnies with your dance moves, throw cows, milk pigs or engage in plunger shooting madness!  The possibilities for fun are endless.<br />
Over 70+ Trials in Unique Stylized Worlds - Pass trials by entertaining the bunnies and unlock new worlds and many collectables such as costumes, music and items for Rayman&#39;s cell.<br />
Loads of Hysterical Fighting Moves - Run races on animals, fight in the arena, dance or engage in toilet plunger- shooting action!<br />
Party with friends - Experience frenzied competition with up to 4 players in frantic and quirky multiplayer trials.<br />
Dress to Impress - Go punk, pop, rock or hip hop and use your funky dance moves to entertain the bunnies; keep them moving to your rhythm and collect additional disguises. Become more and more popular and unlock additional items."
55,Brain Age: Train Your Brain in Minutes a Day,Misc,DS,Nintendo,8.1,2006.0,3.62,"
      Brain Age: Train Your Brain in Minutes a Day is a fun, rewarding form of 
      entertainment everyone can enjoy, as it helps players flex their mental 
      muscles. Brain Age is inspired by the research of Dr. Ryuta Kawashima, a 
      prominent Japanese neuroscientist. His studies evaluated the impact of 
      performing certain reading and mathematic exercises to help stimulate 
      the brain.
    
      Brain Age presents quick mental activities that help keep your mind in 
      shape. Activities include quickly solving simple math problems, counting 
      people going in and out of a house simultaneously, drawing pictures on 
      the Touch Screen, reading classic literature out loud, sudoku and more!
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
56,Driver,Action,PS,GT Interactive,8.5,1999.0,4.08,"Driver is an action-racing game developed by Ubisoft Reflections, Reflections Software and Reflections Interactive. It was originally released in 1999. It was published by GT Interactive Software. Most rawgers rated the game as ""Recommended"". <br>Driver is available on iOS, PlayStation and PC. <br>It was produced by Peter Hawley. Allister Brimble, Andy Gannon (2006), Ed Scorggie (2006) and Marc Canham (2004–11) scored the game. <br>"
